d,c,avg_cd,min_cd,max_cd,stddev_cd
95,15066,92.0679532685237,84.3326745692321,116.352911437574,5.39315976474044
96,15355,93.021204319089,84.8115558164098,117.575507653593,5.43251086747091
97,15725,94.0127810882565,86.1974477580398,118.802356878978,5.49957619612489
98,16045,94.9796106528302,87.1148666990887,119.620232402382,5.55222858038809
99,16329,95.9416566867961,87.6470193446417,121.251804110289,5.60130362091981
100,16691,96.929729746699,88.8931943401743,122.886126149375,5.67707200622836
101,17008,97.8969144874305,89.5432856220945,123.701253025182,5.73460408692695
102,17324,98.8526067233939,90.3603895520598,124.923976881942,5.7732109722439
103,17720,99.8401611667609,91.6624241442479,126.150703525585,5.84096137244952
104,18055,100.804644044583,92.1357693840997,126.968500030519,5.8916898159604
105,18389,101.765942399722,93.5093578204877,128.600155520901,5.93763808005736
106,18784,102.759716318625,94.451045520947,130.234404056685,6.01603099189451
107,19116,103.732119820646,94.9420876113434,131.049608927307,6.0746645712372
108,19437,104.682090668267,96.1873172512884,132.272446110292,6.11270520932013
109,19823,105.669132319563,96.8813707582629,133.499063667128,6.18240215339382
110,20188,106.635891136241,97.6370831190691,134.316789717444,6.23251339950487
111,20542,107.592593685855,98.9949493661167,135.948519668292,6.27832693637313
112,20953,108.584920472572,99.4635611668917,137.582702401138,6.35540990919733
113,21340,109.556263549719,100.767058109285,138.397976863826,6.41115877987061
114,21686,110.511413878336,101.788997440784,139.620915338641,6.45203816964587
115,22091,111.50425735388,102.24480426897,140.847435191416,6.52322478615674
116,22466,112.465409439791,103.489129863962,141.665098030531,6.57230398918143
117,22807,113.42104225244,104.220919205311,143.296894593009,6.6184995207053
118,23246,114.41536799896,104.92378186093,144.931018074117,6.69594512445177
119,23653,115.382920454998,106.329676008159,145.746355014457,6.75197441252094
120,24014,116.336091495884,106.79419459877,146.969384566991,6.79078380602501
